day,slot,room,group,course,teacher
Вівторок,3,Room1,K-1,Course1,Teacher1
Четвер,1,Room3,K-1,Course1,Teacher1
П'ятниця,1,Room4,K-1,Course1,Teacher1
Середа,2,Room2,K-1,Course1,Teacher1
П'ятниця,3,Room3,K-1,Course1,Teacher1
Четвер,2,Room4,K-1,Course1,Teacher1
Вівторок,3,Room4,K-1,Course1,Teacher1
Вівторок,1,Room3,K-1,Course1,Teacher1
Вівторок,1,Room1,K-1,Course1,Teacher1
Середа,2,Room2,K-1,Course1,Teacher1
П'ятниця,1,Room1,K-1,Course1,Teacher1
П'ятниця,4,Room1,K-1,Course1,Teacher1
Четвер,4,Room2,K-1,Course1,Teacher1
Четвер,3,Room4,K-1,Course1,Teacher1
П'ятниця,2,Room1,K-1,Course1,Teacher1
Четвер,1,Room4,K-1,Course1,Teacher1
Вівторок,1,Room3,K-1,Course1,Teacher1
Понеділок,1,Room2,K-1,Course1,Teacher1
Середа,2,Room4,K-1,Course1,Teacher1
Вівторок,3,Room4,K-1,Course1,Teacher1
П'ятниця,2,Room1,K-1,Course1,Teacher1
Середа,4,Room3,K-1,Course1,Teacher1
Понеділок,3,Room2,K-1,Course1,Teacher1
Понеділок,1,Room3,K-1,Course1,Teacher1
Понеділок,4,Room3,K-1,Course1,Teacher1
Середа,4,Room4,K-1,Course1,Teacher1
П'ятниця,4,Room2,K-1,Course1,Teacher1
Понеділок,4,Room4,K-1,Course1,Teacher1
Понеділок,3,Room1,K-1,Course1,Teacher1
Середа,1,Room1,K-1,Course1,Teacher1
Четвер,3,Room3,K-2,Course2,Teacher1
Вівторок,3,Room3,K-2,Course2,Teacher1
Понеділок,4,Room1,K-2,Course2,Teacher1
Четвер,2,Room3,K-2,Course2,Teacher1
Четвер,1,Room4,K-2,Course2,Teacher1
Вівторок,2,Room3,K-2,Course2,Teacher1
П'ятниця,1,Room4,K-2,Course2,Teacher1
Четвер,4,Room4,K-2,Course2,Teacher1
П'ятниця,1,Room4,K-2,Course2,Teacher1
Понеділок,1,Room1,K-2,Course2,Teacher1
Понеділок,3,Room1,K-2,Course2,Teacher1
П'ятниця,1,Room2,K-2,Course2,Teacher1
Середа,4,Room2,K-2,Course2,Teacher1
П'ятниця,3,Room2,K-2,Course2,Teacher1
Середа,1,Room4,K-2,Course2,Teacher1
Вівторок,1,Room4,K-2,Course2,Teacher1
Четвер,2,Room4,K-2,Course2,Teacher1
П'ятниця,1,Room2,K-2,Course2,Teacher1
Понеділок,3,Room2,K-2,Course2,Teacher1
Вівторок,3,Room3,K-2,Course2,Teacher1
Понеділок,1,Room1,K-2,Course2,Teacher1
Вівторок,1,Room3,K-2,Course2,Teacher1
Вівторок,4,Room4,K-2,Course2,Teacher1
Понеділок,2,Room1,K-2,Course2,Teacher1
Середа,2,Room1,K-2,Course2,Teacher1
Вівторок,1,Room3,K-2,Course2,Teacher1
Середа,2,Room4,K-2,Course2,Teacher1
Четвер,2,Room1,K-2,Course2,Teacher1
Середа,4,Room3,K-2,Course2,Teacher1
П'ятниця,3,Room2,K-2,Course2,Teacher1
Середа,2,Room1,K-3,Course3,Teacher2
П'ятниця,1,Room1,K-3,Course3,Teacher2
Вівторок,2,Room4,K-3,Course3,Teacher2
Вівторок,4,Room3,K-3,Course3,Teacher2
Середа,4,Room4,K-3,Course3,Teacher2
П'ятниця,4,Room2,K-3,Course3,Teacher2
Вівторок,1,Room2,K-3,Course3,Teacher2
Вівторок,3,Room4,K-3,Course3,Teacher2
Понеділок,4,Room1,K-3,Course3,Teacher2
Понеділок,1,Room4,K-3,Course3,Teacher2
Четвер,2,Room1,K-3,Course3,Teacher2
Вівторок,1,Room4,K-3,Course3,Teacher2
Понеділок,1,Room2,K-3,Course3,Teacher2
Вівторок,4,Room1,K-3,Course3,Teacher2
П'ятниця,1,Room1,K-3,Course3,Teacher2
Понеділок,2,Room1,K-3,Course3,Teacher2
Вівторок,4,Room4,K-3,Course3,Teacher2
П'ятниця,3,Room4,K-3,Course3,Teacher2
Четвер,3,Room1,K-3,Course3,Teacher2
Середа,4,Room2,K-3,Course3,Teacher2
Понеділок,3,Room1,K-3,Course3,Teacher2
Четвер,2,Room3,K-3,Course3,Teacher2
Середа,2,Room1,K-3,Course3,Teacher2
Вівторок,2,Room2,K-3,Course3,Teacher2
П'ятниця,3,Room4,K-3,Course3,Teacher2
Середа,3,Room2,K-3,Course3,Teacher2
П'ятниця,3,Room4,K-3,Course3,Teacher2
П'ятниця,1,Room3,K-3,Course3,Teacher2
Понеділок,4,Room1,K-3,Course3,Teacher2
Четвер,2,Room1,K-3,Course3,Teacher2
Четвер,1,Room3,K-4,Course4,Teacher2
Середа,4,Room2,K-4,Course4,Teacher2
П'ятниця,3,Room1,K-4,Course4,Teacher2
П'ятниця,3,Room1,K-4,Course4,Teacher2
П'ятниця,1,Room2,K-4,Course4,Teacher2
Четвер,2,Room2,K-4,Course4,Teacher2
Вівторок,2,Room2,K-4,Course4,Teacher2
Середа,4,Room2,K-4,Course4,Teacher2
Четвер,2,Room4,K-4,Course4,Teacher2
Понеділок,1,Room3,K-4,Course4,Teacher2
П'ятниця,1,Room3,K-4,Course4,Teacher2
Четвер,2,Room4,K-4,Course4,Teacher2
Вівторок,3,Room1,K-4,Course4,Teacher2
Середа,4,Room4,K-4,Course4,Teacher2
П'ятниця,4,Room2,K-4,Course4,Teacher2
Четвер,3,Room4,K-4,Course4,Teacher2
Середа,2,Room2,K-4,Course4,Teacher2
Вівторок,2,Room4,K-4,Course4,Teacher2
Понеділок,4,Room2,K-4,Course4,Teacher2
Понеділок,1,Room2,K-4,Course4,Teacher2
Середа,3,Room2,K-4,Course4,Teacher2
Вівторок,3,Room4,K-4,Course4,Teacher2
Вівторок,2,Room4,K-4,Course4,Teacher2
П'ятниця,1,Room4,K-4,Course4,Teacher2
Четвер,4,Room1,K-4,Course4,Teacher2
Вівторок,3,Room4,K-4,Course4,Teacher2
П'ятниця,2,Room3,K-4,Course4,Teacher2
Вівторок,1,Room2,K-4,Course4,Teacher2
Четвер,4,Room3,K-4,Course4,Teacher2
Понеділок,3,Room3,K-4,Course4,Teacher2
